Time,CH4,CO2,Temperature,pH,Pressure,Biogas Quality
2023-01-01 00:00:00,50.993428306022466,64.5762403179773,24.66075263475639,6.985657678354107,18.069657249533364,Moderate
2023-01-01 01:00:00,49.82348973399971,64.54633579367113,24.85725226220259,6.998234707434631,18.05664070893628,Moderate
2023-01-01 02:00:00,51.49540374313338,63.20335646060952,24.721313416912285,7.009430069968011,17.812599992939788,Moderate
2023-01-01 03:00:00,53.34607469983463,64.66765907690848,25.085214844565584,7.099186985558435,18.11570076052088,Moderate
2023-01-01 04:00:00,49.9316665444058,65.72882801507336,25.638596840409875,6.931279325305977,17.701599319437072,Moderate
2023-01-01 05:00:00,50.03161767378847,63.7195166831899,24.664488089600436,6.922866519733144,17.868562914791656,Moderate
2023-01-01 06:00:00,53.75818550379243,66.03948175180702,25.56042081043072,7.1326632882905345,17.59931813322113,Moderate
2023-01-01 07:00:00,52.234437616689625,65.47552492488303,24.67917567861033,6.964236854035753,18.31054890974289,Moderate
2023-01-01 08:00:00,49.86035768789653,64.24976881444945,24.65619898161378,6.885697712464123,17.952153617799002,Moderate
2023-01-01 09:00:00,51.98408488635978,64.8382259362275,25.49931044993397,6.964988065155423,18.431432239240888,Moderate
2023-01-01 10:00:00,50.07169782128478,66.57333264769703,25.560981522469806,6.981995475826529,18.158189345254865,Moderate
2023-01-01 11:00:00,50.16654221504981,65.70331622405749,25.535718094337692,7.171996577048363,18.086714949578358,Moderate
2023-01-01 12:00:00,51.68128493741328,64.97281246439873,24.46211377410923,7.1104823318762715,17.879297742361057,Moderate
2023-01-01 13:00:00,47.470038794106884,64.72010929412684,24.897035861202376,7.13425101660254,17.78667328457672,Moderate
2023-01-01 14:00:00,47.945872796811166,65.0276695096292,25.551503998006858,7.102995387914032,18.09988966278205,Moderate
2023-01-01 15:00:00,50.370102956242775,64.43206940930837,25.170778413791236,7.117121270523238,17.980296658599258,Moderate
2023-01-01 16:00:00,49.56783580058338,62.83136141261855,24.62315826164479,6.955187367833036,17.72600157710937,Moderate
2023-01-01 17:00:00,52.32065332073609,66.97007297548036,25.39916020526587,7.005633826038607,17.689692215864593,Moderate
2023-01-01 18:00:00,49.974601836635486,65.07451122818152,24.822593476890237,6.92800074181648,17.800483504177524,Moderate
2023-01-01 19:00:00,49.06435478198683,65.30813254679433,26.08725468098864,7.007441458582535,18.355530151219376,Moderate
2023-01-01 20:00:00,54.91838294925577,64.84238539359296,25.972407378135365,7.098398492732357,18.43305686545455,Moderate
2023-01-01 21:00:00,51.633457250803666,64.15499398324529,25.512028949971327,7.0449437841230225,18.030415821499254,Moderate
2023-01-01 22:00:00,52.31778211884496,64.69351474085794,25.900476338789005,7.164130716058473,18.018175411708846,Moderate
2023-01-01 23:00:00,49.43072683664877,63.26888476236036,25.262360530832666,6.92033793649811,17.92004380526055,Moderate
2023-01-02 00:00:00,51.2887271479764,67.13371930667398,25.622674552098175,7.0859999219094725,17.799284021143624,Moderate
2023-01-02 01:00:00,52.69636932199245,63.609988240710244,25.98880594149445,6.912642053857441,18.260042315555044,Moderate
2023-01-02 02:00:00,50.26932098391289,63.79991674597565,25.382684123490435,7.048385890780767,18.35849941689099,Moderate
2023-01-02 03:00:00,53.41923094008102,64.3785232385201,25.1423291454312,7.114497145083822,17.803830195437218,Moderate
2023-01-02 04:00:00,51.56281740017345,66.09327551380797,24.427598620572283,7.020508740790858,17.96462847215933,Moderate
2023-01-02 05:00:00,52.27669063927617,64.80564542603031,25.248328585186574,7.09856647474529,17.88985730478129,Moderate
2023-01-02 06:00:00,51.752362153389555,63.540457967199394,25.711591528669977,6.9489750064761,17.89436947072735,Moderate
2023-01-02 07:00:00,56.75573329251267,66.01591161393567,25.782680038514844,6.8800732630668335,18.214137983882765,High
2023-01-02 08:00:00,53.11927878243401,65.47707702603802,25.572028005983626,7.1036388259150565,17.71305542052401,Moderate
2023-01-02 09:00:00,51.12563293182525,65.26853970896146,25.05917679414332,7.223830058258582,18.067185438436216,Moderate
2023-01-02 10:00:00,54.980601939313566,65.42939414961707,24.351395105817854,6.951317266979776,18.117935291122716,Moderate
2023-01-02 11:00:00,50.98794845864505,67.09110541506726,25.102176530189535,7.174633446674322,17.942206028786163,Moderate
2023-01-02 12:00:00,53.94114349413437,66.86445215719903,25.207588432869507,7.05824816529751,18.1475508736143,Moderate
2023-01-02 13:00:00,49.697504122232246,63.97478754778361,25.21327173438727,6.921827982652612,17.99672119909441,Moderate
2023-01-02 14:00:00,51.05353851192412,66.26706717930459,25.688988266520898,6.943737416319426,18.208822844002448,Moderate
2023-01-02 15:00:00,54.19632818478054,65.0075651718296,26.38252064414145,7.0599567232274385,17.659114362299686,Moderate
2023-01-02 16:00:00,55.37185356680461,65.10424497291285,25.461417830803764,7.01942179092165,17.891911498801164,High
2023-01-02 17:00:00,54.32958201832933,62.893169804499934,25.301256527302144,6.930065956833562,17.945367644588078,Moderate
2023-01-02 18:00:00,53.84707509956627,64.3948876264112,25.289979068230757,6.893442008746342,17.423305143850627,Moderate
2023-01-02 19:00:00,53.56728248460862,63.73182585092148,25.491748232008202,6.979662120596408,17.738525078797757,Moderate
2023-01-02 20:00:00,51.30314699415692,65.35162966261557,25.02537312329137,7.085202491504628,17.790917469101114,Moderate
2023-01-02 21:00:00,52.91077747120366,65.57312022028002,25.509581678966953,7.066668460062759,18.141152936353937,Moderate
2023-01-02 22:00:00,53.519028042143425,62.40557186066294,25.684849165239797,7.018671078205877,17.80797024252262,Moderate
2023-01-02 23:00:00,56.643945528050025,64.43559365813611,25.574244787834402,7.090469312616707,17.78350308047957,High
2023-01-03 00:00:00,55.305879998726105,65.55661439990254,25.70812960366515,7.1757683516275526,18.108348827520878,High
2023-01-03 01:00:00,51.1810434075495,64.22475465672846,25.706187403751514,7.112662770989357,17.618955199263926,Moderate
2023-01-03 02:00:00,55.4433010589628,65.11673667178485,24.61331826233163,7.062603033597278,17.525927072593202,High
2023-01-03 03:00:00,54.11249826006305,64.71463896294715,25.827652689165348,7.1690242093188745,17.865448922153853,Moderate
